iter	Passed	Remaining
0	95	70445
1	132	48911
2	171	42092
3	202	37332
4	235	34574
5	266	32594
6	298	31252
7	333	30484
8	369	30042
9	406	29693
10	443	29370
11	480	29145
12	517	28938
13	554	28729
14	589	28487
15	624	28246
16	659	28066
17	695	27887
18	731	27745
19	769	27717
20	812	27805
21	853	27849
22	895	27904
23	935	27894
24	973	27851
25	1014	27846
26	1053	27814
27	1090	27726
28	1128	27661
29	1165	27587
30	1202	27499
31	1240	27447
32	1279	27410
33	1320	27411
34	1358	27358
35	1396	27302
36	1435	27276
37	1475	27251
38	1517	27271
39	1555	27223
40	1589	27099
41	1622	26964
42	1656	26845
43	1688	26714
44	1722	26602
45	1756	26499
46	1792	26428
47	1832	26419
48	1870	26379
49	1905	26292
50	1939	26208
51	1974	26121
52	2009	26043
53	2044	25973
54	2079	25897
55	2114	25821
56	2150	25763
57	2186	25705
58	2219	25619
59	2253	25536
60	2286	25450
61	2320	25380
62	2357	25335
63	2398	25338
64	2436	25301
65	2475	25280
66	2512	25235
67	2553	25239
68	2588	25169
69	2623	25109
70	2658	25048
71	2693	24986
72	2727	24919
73	2762	24862
74	2799	24823
75	2835	24770
76	2870	24712
77	2904	24654
78	2938	24588
79	2974	24537
80	3008	24473
81	3043	24419
82	3077	24359
83	3113	24311
84	3147	24251
85	3180	24184
86	3214	24129
87	3249	24078
88	3284	24023
89	3319	23973
90	3354	23925
91	3389	23870
92	3423	23819
93	3459	23771
94	3494	23724
95	3528	23671
96	3564	23626
97	3598	23574
98	3633	23528
99	3669	23482
100	3703	23432
101	3738	23383
102	3773	23339
103	3807	23286
104	3842	23235
105	3877	23192
106	3912	23143
107	3948	23104
108	3984	23065
109	4018	23014
110	4053	22967
111	4088	22922
112	4122	22874
113	4159	22839
114	4193	22788
115	4226	22738
116	4261	22692
117	4295	22640
118	4328	22590
119	4364	22548
120	4398	22499
121	4431	22450
122	4467	22412
123	4501	22363
124	4536	22319
125	4571	22275
126	4605	22229
127	4640	22186
128	4675	22144
129	4710	22104
130	4744	22058
131	4783	22031
